area	population	income_pc	year	unemploy_rate	pctwhite	region
"east anglia"	5846965.0	15512.979	2010.0	6.5	0.85277915	1
"east midlands"	4533222.0	13846.25	2010.0	7.5	0.85395026	2
"greater london"	8173941.0	19465.848	2010.0	8.7	0.44890022	3
"north "	2596886.0	12442.556	2010.0	9.8	0.93628407	4
"north west"	7052177.0	13222.481	2010.0	8.0	0.8708047	5
"scotland"	5295000.0	14341.25	2010.0	7.7	0.96	6
"south east"	8634750.0	16800.357	2010.0	6.0	0.85225374	7
"south west"	5288935.0	14729.297	2010.0	6.0	0.918082	8
"wales"	3063456.0	12887.728	2010.0	8.3	0.9321009	9
"west midlands"	5601847.0	13876.167	2010.0	8.8	0.7915841	10
"yorkshire and humberside"	5283733.0	13634.95	2010.0	8.8	0.85756356	11
"north"	2515479.0	11332.0	2005.0	6.4	0.9761226	4
"north west"	6729800.0	12207.0	2005.0	4.2	0.94438094	5
"yorkshire and humberside"	4964838.0	12097.0	2005.0	5.0	0.9348267	11
"east midlands"	4172179.0	12527.0	2005.0	4.1	0.93485445	2
"west midlands"	5267337.0	12143.0	2005.0	4.3	0.8874116	10
"east anglia"	5388154.0	14370.0	2005.0	3.6	0.9511612	1
"greater london"	7172036.0	16538.0	2005.0	6.8	0.7115418	3
"south east "	8000550.0	15148.0	2005.0	3.6	0.95105827	7
"south west"	4928458.0	13376.0	2005.0	3.2	0.97704315	8
"wales"	2903085.0	11876.0	2005.0	4.4	0.9787881	9
"scotland"	5062011.0	12672.0	2005.0	5.7	0.96	6
